"","EorP","CapShape","CapSurf","CapColor","Bruises","Odor","GillAtt","GillSpace","GillSize","GillColor","StalkShape","StalkRoot","SsurfAbove","SsurfBelow","ScolorAbove","ScolorBelow","VeilType","VeilColor","RingNum","RingType","Spore","Pop","Habitat"
"1","p","x","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","u"
"2","e","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","g"
"3","e","b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","m"
"4","p","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","s","u"
"5","e","x","s","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","g"
"6","e","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","g"
"7","e","b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","m"
"8","e","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","m"
"9","p","x","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","g"
"10","e","b","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","m"
"11","e","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","g"
"12","e","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","m"
"13","e","b","s","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","g"
"14","p","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","u"
"15","e","x","f","n","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","a","g"
"16","e","s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","y","u"
"17","e","f","f","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","g"
"18","p","x","s","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","s","g"
"19","p","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","s","u"
"20","p","x","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","u"
"21","e","b","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m"
"22","p","x","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","g"
"23","e","b","y","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m"
"24","e","b","y","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","m"
"25","e","b","s","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","m"
"26","p","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","g"
"27","e","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","m"
"28","e","x","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","m"
"29","e","f","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","y","u"
"30","e","x","s","y","t","a","f","w","n","n","t","b","s","s","w","w","p","w","o","p","n","v","d"
"31","e","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","m"
"32","p","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","u"
"33","e","x","y","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","m"
"34","e","x","y","n","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","p"
"35","e","b","y","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","m"
"36","e","x","f","y","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","d"
"37","e","s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","u"
"38","p","x","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","s","u"
"39","e","x","f","y","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","d"
"40","e","b","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","m"
"41","e","b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","g"
"42","e","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","p"
"43","e","x","f","n","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","k","y","u"
"44","p","x","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","g"
"45","e","x","s","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","m"
"46","e","x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","g"
"47","e","x","y","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","m"
"48","e","x","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","m"
"49","e","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","s","p"
"50","e","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","p"
"51","e","x","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","g"
"52","e","x","s","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","g"
"53","e","b","s","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","m"
"54","p","x","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","u"
"55","p","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","u"
"56","e","b","y","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","m"
"57","e","f","f","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","a","g"
"58","e","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","g"
"59","e","x","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","g"
"60","e","x","y","n","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","y","p"
"61","e","s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","u"
"62","e","b","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m"
"63","e","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","m"
"64","e","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","m"
"65","e","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","g"
"66","e","f","s","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","g"
"67","e","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","g"
"68","e","f","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","s","g"
"69","e","x","y","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","g"
"70","e","x","f","g","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","u"
"71","e","f","f","y","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","d"
"72","e","b","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","m"
"73","e","f","f","y","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","d"
"74","e","x","y","n","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","s","p"
"75","e","b","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","g"
"76","e","f","s","y","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","d"
"77","e","x","s","w","t","l","f","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","d"
"78","e","f","y","n","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","p"
"79","p","x","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","u"
"80","e","f","y","n","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","g"
"81","e","x","s","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","s","g"
"82","p","x","y","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","g"
"83","e","f","f","g","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","y","u"
"84","e","x","f","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","s","g"
"85","e","x","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","g"
"86","e","x","s","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","s","g"
"87","e","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","g"
"88","e","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","g"
"89","e","f","y","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","g"
"90","e","s","f","n","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","u"
"91","e","x","f","n","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","y","u"
"92","e","b","s","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","g"
"93","e","x","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","g"
"94","e","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","m"
"95","e","x","s","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","a","g"
"96","e","x","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","g"
"97","e","f","y","n","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","s","g"
"98","e","x","s","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","g"
"99","e","b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","g"
"100","e","x","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","g"
"101","e","x","f","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","g"
"102","e","b","s","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","g"
"103","e","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","s","g"
"104","e","x","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","p"
"105","e","b","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","g"
"106","e","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","m"
"107","e","x","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","y","g"
"108","e","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","m"
"109","e","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","m"
"110","e","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","m"
"111","e","x","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","g"
"112","e","s","f","g","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","k","y","u"
"113","e","x","f","w","t","a","f","w","n","w","t","b","s","s","w","w","p","w","o","p","u","v","d"
"114","e","x","s","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","m"
"115","p","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","u"
"116","e","x","y","y","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","s","g"
"117","e","s","f","g","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","y","u"
"118","e","x","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","g"
"119","e","x","s","y","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","u","v","d"
"120","e","s","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","y","u"